episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.582410869999876,True,False
2,460.0,702,1087,0.2,0.025979158426211638,1.832111106999946,True,False
3,430.0,506,1593,0.2,0.027946278307124914,3.6385825370000475,True,False
4,380.0,514,2107,0.2,0.026266852833714438,5.432038840999894,True,False
5,180.0,443,2550,0.2,0.0281512737190267,7.3750063929999214,True,False
6,300.0,368,2918,0.2,0.025668126119695524,9.231566751999935,True,False
7,1070.0,1040,3958,0.2,0.028940682111939307,12.747908586999984,True,False
8,260.0,413,4371,0.2,0.026665503298185622,14.21655246399996,True,False
9,320.0,395,4766,0.2,0.031714939070169375,15.647251381999922,True,False
10,130.0,338,5104,0.2,0.029289286163197283,16.910414039999978,True,False
11,1200.0,701,5805,0.2,0.02795472222613171,19.488763484999936,True,False
12,400.0,453,6258,0.2,0.03411226447896241,21.650142576000007,True,False
13,360.0,410,6668,0.2,0.03506138592786653,23.109336777999943,True,False
14,280.0,394,7062,0.2,0.031882749331107706,24.542331401999945,True,False
15,510.0,558,7620,0.2,0.035604070155282636,26.47390580399997,True,False
16,560.0,513,8133,0.2,0.03447229444373079,28.415506836000077,True,False
17,1160.0,708,8841,0.2,0.03639287903370851,30.86759711500008,True,False
18,550.0,706,9547,0.2,0.03827852307255274,33.91828579100002,True,False
19,1270.0,951,10498,0.2,0.04124208912449036,37.32683434599994,True,False
20,530.0,475,10973,0.2,0.03713900005413579,39.04849648499999,True,False
21,270.0,425,11398,0.2,0.04529928178790043,40.639172460000054,True,False
22,330.0,565,11963,0.2,0.038566013710599735,42.71493627399991,True,False
23,470.0,677,12640,0.2,0.03991394721190719,45.359448535999945,True,False
24,330.0,514,13154,0.2,0.04411790280209971,47.66028986900005,True,False
25,440.0,570,13724,0.2,0.041513619748256785,49.705444770999975,True,False
26,850.0,1047,14771,0.2,0.037668553977612394,55.830611868999995,True,False
27,570.0,686,15457,0.2,0.036926658068740265,58.62149180799997,True,False
28,310.0,526,15983,0.2,0.04495380847636639,60.753231900999936,True,False
29,430.0,546,16529,0.2,0.03722408136699593,62.64325836299986,True,False
30,300.0,545,17074,0.2,0.0400402475566165,64.54873177700006,True,False
31,820.0,866,17940,0.2,0.041041749824602416,67.47154042300008,True,False
32,700.0,687,18627,0.2,0.038856881646145335,69.88334280999993,True,False
33,770.0,810,19437,0.2,0.04122596352333616,73.18295053199995,True,False
34,280.0,459,19896,0.2,0.045245494414120915,74.78984435100006,True,False
35,350.0,456,20352,0.2,0.04533842646337131,76.41186484800005,True,False
36,570.0,523,20875,0.2,0.04572398046103234,78.26976598300007,True,False
37,1190.0,1042,21917,0.2,0.04546803679813228,81.74575096400008,True,False
38,390.0,432,22349,0.2,0.050540132741271344,83.59836790899999,True,False
39,1100.0,774,23123,0.2,0.05202393276240542,86.5664858539999,True,False
40,1120.0,663,23786,0.2,0.055502246403281226,88.82556010100006,True,False
41,630.0,600,24386,0.2,0.05951346530889472,90.93994244200007,True,False
42,620.0,558,24944,0.2,0.05745028011234743,92.86677816799988,True,False
43,1300.0,834,25778,0.2,0.05989903433678242,95.98805596800003,True,False
44,290.0,406,26184,0.2,0.0574140095645014,98.26649750499996,True,False
45,490.0,723,26907,0.2,0.05933373508095327,101.46432610400007,True,False
46,410.0,476,27383,0.2,0.0592020726567056,103.19968047899988,True,False
47,960.0,709,28092,0.2,0.0643544434255847,105.61512749500002,True,False
48,330.0,421,28513,0.2,0.05922508724033833,107.1305748289999,True,False
